|        a         |        b         |sel |       out        |
| 0000000000000001 | 0000000000000001 | 00 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 01 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 10 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 11 | 0000000000000001 |
| 0000000000000001 | 0000000000000001 | 00 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 01 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 10 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 11 | 0000000000000001 |
| 0000000000000001 | 0000000000000001 | 00 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 01 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 10 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 11 | 0000000000000001 |
| 0000000000000001 | 0000000000000001 | 00 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 01 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 10 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 11 | 0000000000000001 |
